month,partner_id,partner_name,product_id,product_name,product_type,province,premium_transactions,paid_transactions,failed_transactions,partial_transactions,total_premium_due,total_premium_collected,outstanding_premium,collection_rate_pct
2025-07-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,North West,2,2,0,0,1407.77,1407.77,0.0,100.0
2025-07-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,Western Cape,8,5,1,2,5208.21,4174.07,1034.14,80.14
2025-07-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,Eastern Cape,1,1,0,0,158.67,158.67,0.0,100.0
2025-07-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,Free State,2,2,0,0,198.34,198.34,0.0,100.0
2025-07-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,Gauteng,13,11,0,2,1309.01,1190.0,119.01,90.91
2025-07-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,KwaZulu-Natal,4,4,0,0,317.33,317.33,0.0,100.0
2025-07-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,Limpopo,1,0,1,0,39.67,0.0,39.67,0.0
2025-07-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,North West,1,1,0,0,119.0,119.0,0.0,100.0
2025-07-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,Western Cape,5,5,0,0,595.01,595.01,0.0,100.0
2025-07-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,Eastern Cape,1,1,0,0,1084.02,1084.02,0.0,100.0
2025-07-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,Free State,2,2,0,0,1101.24,1101.24,0.0,100.0
2025-07-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,Gauteng,10,8,2,0,7365.54,5846.82,1518.72,79.38
2025-07-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,KwaZulu-Natal,4,3,0,1,2252.46,2040.78,211.68,90.6
2025-07-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,Limpopo,1,1,0,0,742.14,742.14,0.0,100.0
2025-07-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,Mpumalanga,2,2,0,0,1703.1,1703.1,0.0,100.0
2025-07-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,North West,3,3,0,0,2751.84,2751.84,0.0,100.0
2025-07-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,Western Cape,4,3,1,0,3720.36,3065.58,654.78,82.4
2025-07-01,PART005,Nala Mobility Finance,PRD010,Vehicle Disability Cover,Disability,Free State,1,1,0,0,366.8,366.8,0.0,100.0
2025-07-01,PART005,Nala Mobility Finance,PRD010,Vehicle Disability Cover,Disability,Gauteng,8,7,1,0,4144.7,3455.9,688.8,83.38
2025-07-01,PART005,Nala Mobility Finance,PRD010,Vehicle Disability Cover,Disability,KwaZulu-Natal,1,1,0,0,457.8,457.8,0.0,100.0
2025-07-01,PART005,Nala Mobility Finance,PRD010,Vehicle Disability Cover,Disability,Limpopo,1,1,0,0,560.7,560.7,0.0,100.0
2025-07-01,PART005,Nala Mobility Finance,PRD010,Vehicle Disability Cover,Disability,North West,2,2,0,0,1507.45,1507.45,0.0,100.0
2025-07-01,PART005,Nala Mobility Finance,PRD010,Vehicle Disability Cover,Disability,Western Cape,5,5,0,0,2297.4,2297.4,0.0,100.0
2025-08-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Eastern Cape,3,3,0,0,800.64,800.64,0.0,100.0
2025-08-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Free State,3,3,0,0,595.2,595.2,0.0,100.0
2025-08-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Gauteng,14,13,1,0,3336.0,3048.96,287.04,91.4
2025-08-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,KwaZulu-Natal,17,15,0,2,4217.76,4039.8,177.96,95.78
2025-08-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Limpopo,6,5,1,0,1370.4,1222.56,147.84,89.21
2025-08-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Mpumalanga,6,5,1,0,1281.6,984.48,297.12,76.82
2025-08-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,North West,1,1,0,0,165.12,165.12,0.0,100.0
2025-08-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Western Cape,14,12,2,0,3262.08,2789.28,472.8,85.51
2025-08-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Eastern Cape,5,5,0,0,2892.3,2892.3,0.0,100.0
2025-08-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Free State,2,2,0,0,1346.02,1346.02,0.0,100.0
2025-08-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Gauteng,14,14,0,0,8787.88,8787.88,0.0,100.0
2025-08-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,KwaZulu-Natal,10,10,0,0,5731.28,5731.28,0.0,100.0
2025-08-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Limpopo,1,0,1,0,764.46,0.0,764.46,0.0
2025-08-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Mpumalanga,1,1,0,0,727.26,727.26,0.0,100.0
2025-08-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,North West,5,4,1,0,3205.4,2512.24,693.16,78.38
2025-08-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Western Cape,13,12,1,0,6797.06,6487.68,309.38,95.45
2025-08-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Eastern Cape,2,2,0,0,89.0,89.0,0.0,100.0
2025-08-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Free State,2,2,0,0,178.0,178.0,0.0,100.0
2025-08-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Gauteng,22,21,1,0,2892.5,2714.5,178.0,93.85
2025-08-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,KwaZulu-Natal,9,9,0,0,1157.0,1157.0,0.0,100.0
2025-08-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Limpopo,1,1,0,0,133.5,133.5,0.0,100.0
2025-08-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Mpumalanga,6,6,0,0,445.0,445.0,0.0,100.0
2025-08-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,North West,3,3,0,0,178.0,178.0,0.0,100.0
2025-08-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Western Cape,15,15,0,0,1735.5,1735.5,0.0,100.0
2025-08-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Eastern Cape,4,3,1,0,409.75,335.25,74.5,81.82
2025-08-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Free State,3,3,0,0,335.25,335.25,0.0,100.0
2025-08-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Gauteng,17,16,0,1,1527.25,1471.38,55.87,96.34
2025-08-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,KwaZulu-Natal,6,6,0,0,596.0,596.0,0.0,100.0
2025-08-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Limpopo,2,2,0,0,111.75,111.75,0.0,100.0
2025-08-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Mpumalanga,5,5,0,0,521.5,521.5,0.0,100.0
2025-08-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,North West,2,2,0,0,74.5,74.5,0.0,100.0
2025-08-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Western Cape,5,5,0,0,409.75,409.75,0.0,100.0
2025-08-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Eastern Cape,3,3,0,0,1049.4,1049.4,0.0,100.0
2025-08-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Free State,1,1,0,0,369.05,369.05,0.0,100.0
2025-08-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Gauteng,19,19,0,0,6786.45,6786.45,0.0,100.0
2025-08-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,KwaZulu-Natal,4,4,0,0,1423.95,1423.95,0.0,100.0
2025-08-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Limpopo,4,4,0,0,1494.9,1494.9,0.0,100.0
2025-08-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Mpumalanga,1,1,0,0,267.85,267.85,0.0,100.0
2025-08-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,North West,3,2,1,0,1149.5,793.65,355.85,69.04
2025-08-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Western Cape,5,5,0,0,1842.5,1842.5,0.0,100.0
2025-08-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Eastern Cape,3,3,0,0,3022.8,3022.8,0.0,100.0
2025-08-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Free State,2,2,0,0,1890.24,1890.24,0.0,100.0
2025-08-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Gauteng,6,6,0,0,3608.22,3608.22,0.0,100.0
2025-08-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,KwaZulu-Natal,5,5,0,0,3830.64,3830.64,0.0,100.0
2025-08-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Limpopo,3,3,0,0,2374.68,2374.68,0.0,100.0
2025-08-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Mpumalanga,3,3,0,0,2346.3,2346.3,0.0,100.0
2025-08-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,North West,6,5,0,1,6055.5,5528.82,526.68,91.3
2025-08-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Western Cape,5,4,1,0,4988.94,4290.0,698.94,85.99
2025-08-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,Eastern Cape,4,4,0,0,1941.38,1941.38,0.0,100.0
2025-08-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,Free State,3,3,0,0,1922.76,1922.76,0.0,100.0
2025-08-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,Gauteng,29,29,0,0,16009.28,16009.28,0.0,100.0
2025-08-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,KwaZulu-Natal,10,10,0,0,5092.08,5092.08,0.0,100.0
2025-08-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,Limpopo,4,4,0,0,2882.67,2882.67,0.0,100.0
2025-08-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,Mpumalanga,3,3,0,0,1711.08,1711.08,0.0,100.0
2025-08-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,North West,3,3,0,0,1653.75,1653.75,0.0,100.0
2025-08-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,Western Cape,10,10,0,0,6153.42,6153.42,0.0,100.0
2025-08-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,Eastern Cape,3,2,1,0,317.34,198.34,119.0,62.5
2025-08-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,Free State,4,4,0,0,476.01,476.01,0.0,100.0
2025-08-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,Gauteng,17,17,0,0,1864.35,1864.35,0.0,100.0
2025-08-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,KwaZulu-Natal,7,5,2,0,595.0,436.33,158.67,73.33
2025-08-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,Limpopo,2,1,1,0,79.34,39.67,39.67,50.0
2025-08-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,North West,3,3,0,0,317.34,317.34,0.0,100.0
2025-08-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,Western Cape,6,6,0,0,674.34,674.34,0.0,100.0
2025-08-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,Eastern Cape,2,2,0,0,1598.1,1598.1,0.0,100.0
2025-08-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,Free State,2,2,0,0,1101.24,1101.24,0.0,100.0
2025-08-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,Gauteng,17,17,0,0,12915.0,12915.0,0.0,100.0
2025-08-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,KwaZulu-Natal,5,5,0,0,3373.44,3373.44,0.0,100.0
2025-08-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,Limpopo,3,3,0,0,2014.74,2014.74,0.0,100.0
2025-08-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,Mpumalanga,2,2,0,0,1703.1,1703.1,0.0,100.0
2025-08-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,North West,4,4,0,0,3344.04,3344.04,0.0,100.0
2025-08-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,Western Cape,8,8,0,0,6895.14,6895.14,0.0,100.0
2025-08-01,PART005,Nala Mobility Finance,PRD010,Vehicle Disability Cover,Disability,Free State,4,4,0,0,2679.6,2679.6,0.0,100.0
2025-08-01,PART005,Nala Mobility Finance,PRD010,Vehicle Disability Cover,Disability,Gauteng,18,17,1,0,9745.4,9375.1,370.3,96.2
2025-08-01,PART005,Nala Mobility Finance,PRD010,Vehicle Disability Cover,Disability,KwaZulu-Natal,3,3,0,0,1206.1,1206.1,0.0,100.0
2025-08-01,PART005,Nala Mobility Finance,PRD010,Vehicle Disability Cover,Disability,Limpopo,4,4,0,0,1805.65,1805.65,0.0,100.0
2025-08-01,PART005,Nala Mobility Finance,PRD010,Vehicle Disability Cover,Disability,North West,2,1,1,0,1507.45,821.1,686.35,54.47
2025-08-01,PART005,Nala Mobility Finance,PRD010,Vehicle Disability Cover,Disability,Western Cape,11,10,0,1,5324.2,5165.83,158.37,97.03
2025-09-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Eastern Cape,6,6,0,0,1610.88,1610.88,0.0,100.0
2025-09-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Free State,3,3,0,0,595.2,595.2,0.0,100.0
2025-09-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Gauteng,21,18,1,2,4953.6,4471.68,481.92,90.27
2025-09-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,KwaZulu-Natal,22,21,1,0,4944.0,4755.84,188.16,96.19
2025-09-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Limpopo,7,7,0,0,1481.28,1481.28,0.0,100.0
2025-09-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Mpumalanga,7,7,0,0,1554.24,1554.24,0.0,100.0
2025-09-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,North West,3,2,1,0,599.04,330.72,268.32,55.21
2025-09-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Western Cape,19,17,2,0,4568.64,4125.6,443.04,90.3
2025-09-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Eastern Cape,6,4,2,0,3762.16,2685.22,1076.94,71.37
2025-09-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Free State,4,4,0,0,2473.8,2473.8,0.0,100.0
2025-09-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Gauteng,19,17,1,1,12229.5,11082.19,1147.31,90.62
2025-09-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,KwaZulu-Natal,16,15,1,0,9286.36,8482.22,804.14,91.34
2025-09-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Limpopo,1,1,0,0,764.46,764.46,0.0,100.0
2025-09-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Mpumalanga,2,2,0,0,1522.72,1522.72,0.0,100.0
2025-09-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,North West,7,7,0,0,4055.42,4055.42,0.0,100.0
2025-09-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Western Cape,19,16,2,1,10579.68,9420.13,1159.55,89.04
2025-09-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Eastern Cape,2,1,1,0,89.0,44.5,44.5,50.0
2025-09-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Free State,6,4,1,1,623.0,511.75,111.25,82.14
2025-09-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Gauteng,27,25,1,1,3604.5,3382.0,222.5,93.83
2025-09-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,KwaZulu-Natal,13,13,0,0,1780.0,1780.0,0.0,100.0
2025-09-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Limpopo,4,3,1,0,534.0,356.0,178.0,66.67
2025-09-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Mpumalanga,8,7,1,0,667.5,489.5,178.0,73.33
2025-09-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,North West,4,4,0,0,267.0,267.0,0.0,100.0
2025-09-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Western Cape,21,20,1,0,2314.0,2180.5,133.5,94.23
2025-09-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Eastern Cape,6,5,1,0,596.0,484.25,111.75,81.25
2025-09-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Free State,4,2,2,0,484.25,186.25,298.0,38.46
2025-09-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Gauteng,22,20,0,2,2048.75,2011.5,37.25,98.18
2025-09-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,KwaZulu-Natal,9,9,0,0,856.75,856.75,0.0,100.0
2025-09-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Limpopo,5,4,1,0,447.0,298.0,149.0,66.67
2025-09-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Mpumalanga,7,7,0,0,633.25,633.25,0.0,100.0
2025-09-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,North West,2,2,0,0,74.5,74.5,0.0,100.0
2025-09-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Western Cape,9,9,0,0,782.25,782.25,0.0,100.0
2025-09-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Eastern Cape,5,5,0,0,1833.15,1833.15,0.0,100.0
2025-09-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Free State,2,2,0,0,580.25,580.25,0.0,100.0
2025-09-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Gauteng,25,21,4,0,8298.4,7041.1,1257.3,84.85
2025-09-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,KwaZulu-Natal,11,11,0,0,4292.2,4292.2,0.0,100.0
2025-09-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Limpopo,5,3,1,1,2033.9,1364.28,669.62,67.08
2025-09-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Mpumalanga,3,2,0,1,906.95,787.05,119.9,86.78
2025-09-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,North West,5,3,1,1,1689.6,1118.56,571.04,66.2
2025-09-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Western Cape,11,11,0,0,3758.15,3758.15,0.0,100.0
2025-09-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Eastern Cape,7,7,0,0,6774.24,6774.24,0.0,100.0
2025-09-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Free State,2,2,0,0,1890.24,1890.24,0.0,100.0
